Date,Sales
2022-04-22,29
2022-04-23,8
2022-04-24,24
2022-04-25,35
2022-04-26,22
2022-04-27,14
2022-04-28,37
2022-04-29,19
2022-04-30,13
2022-05-01,35
2022-05-02,43
2022-05-03,16
2022-05-04,34
2022-05-05,33
2022-05-06,29
2022-05-07,40
2022-05-08,27
2022-05-09,43
2022-05-10,33
2022-05-11,51
2022-05-12,43
2022-05-13,45
2022-05-14,36
2022-05-15,38
2022-05-16,47
2022-05-17,36
2022-05-18,41
2022-05-19,30
2022-05-20,44
2022-05-21,27
2022-05-22,34
2022-05-23,24
2022-05-24,30
2022-05-25,49
2022-05-26,22
2022-05-27,48
2022-05-28,31
2022-05-29,32
2022-05-30,51
2022-05-31,43
2022-06-01,55
2022-06-02,40
2022-06-03,25
2022-06-04,42
2022-06-05,47
2022-06-06,31
2022-06-07,47
2022-06-08,29
2022-06-09,30
2022-06-10,54
2022-06-11,40
2022-06-12,47
2022-06-13,27
2022-06-14,44
2022-06-15,53
2022-06-16,29
2022-06-17,43
2022-06-18,43
2022-06-19,22
2022-06-20,38
2022-06-21,46
2022-06-22,17
2022-06-23,46
2022-06-24,23
2022-06-25,49
2022-06-26,49
2022-06-27,36
2022-06-28,48
2022-06-29,43
2022-06-30,20
2022-07-01,43
2022-07-02,42
2022-07-03,24
2022-07-04,23
2022-07-05,50
2022-07-06,50
2022-07-07,31
2022-07-08,40
2022-07-09,16
2022-07-10,37
2022-07-11,42
2022-07-12,23
2022-07-13,29
2022-07-14,43
2022-07-15,32
2022-07-16,15
2022-07-17,24
2022-07-18,10
2022-07-19,16
2022-07-20,30
2022-07-21,38
2022-07-22,27
2022-07-23,37
2022-07-24,25
2022-07-25,20
2022-07-26,2
2022-07-27,8
2022-07-28,27
2022-07-29,33
2022-07-30,15
2022-07-31,19
2022-08-01,26
2022-08-02,3
2022-08-03,37
2022-08-04,21
2022-08-05,23
2022-08-06,12
2022-08-07,18
2022-08-08,34
2022-08-09,28
2022-08-10,6
2022-08-11,6
2022-08-12,19
2022-08-13,13
2022-08-14,39
2022-08-15,39
2022-08-16,0
2022-08-17,12
2022-08-18,5
2022-08-19,37
2022-08-20,31
2022-08-21,22
2022-08-22,2
2022-08-23,37
2022-08-24,15
2022-08-25,24
2022-08-26,7
2022-08-27,38
2022-08-28,33
2022-08-29,9
2022-08-30,44
2022-08-31,11
2022-09-01,33
2022-09-02,38
2022-09-03,8
2022-09-04,38
2022-09-05,15
2022-09-06,40
2022-09-07,12
2022-09-08,32
2022-09-09,35
2022-09-10,36
2022-09-11,25
2022-09-12,48
2022-09-13,34
2022-09-14,24
2022-09-15,24
2022-09-16,43
2022-09-17,47
2022-09-18,29
2022-09-19,17
2022-09-20,21
2022-09-21,29
2022-09-22,27
2022-09-23,21
2022-09-24,38
2022-09-25,32
2022-09-26,33
2022-09-27,51
2022-09-28,19
2022-09-29,56
2022-09-30,36
2022-10-01,47
2022-10-02,40
2022-10-03,45
2022-10-04,31
2022-10-05,42
2022-10-06,36
2022-10-07,49
2022-10-08,55
2022-10-09,26
2022-10-10,29
2022-10-11,44
2022-10-12,54
2022-10-13,29
2022-10-14,53
2022-10-15,20
2022-10-16,39
2022-10-17,37
2022-10-18,31
2022-10-19,23
2022-10-20,21
2022-10-21,52
2022-10-22,22
2022-10-23,38
2022-10-24,25
2022-10-25,36
2022-10-26,17
2022-10-27,34
2022-10-28,54
2022-10-29,20
2022-10-30,42
2022-10-31,25
2022-11-01,17
2022-11-02,24
2022-11-03,38
2022-11-04,32
2022-11-05,33
2022-11-06,51
2022-11-07,45
2022-11-08,17
2022-11-09,40
2022-11-10,36
2022-11-11,40
2022-11-12,42
2022-11-13,8
2022-11-14,44
2022-11-15,21
2022-11-16,44
2022-11-17,44
2022-11-18,42
2022-11-19,30
2022-11-20,28
2022-11-21,36
2022-11-22,24
2022-11-23,22
2022-11-24,13
2022-11-25,28
2022-11-26,33
2022-11-27,29
2022-11-28,14
2022-11-29,12
2022-11-30,25
2022-12-01,27
2022-12-02,25
2022-12-03,26
2022-12-04,4
2022-12-05,28
2022-12-06,0
2022-12-07,20
2022-12-08,10
2022-12-09,5
2022-12-10,28
2022-12-11,9
2022-12-12,20
2022-12-13,38
2022-12-14,19
2022-12-15,32
2022-12-16,19
2022-12-17,33
2022-12-18,4
2022-12-19,11
2022-12-20,31
2022-12-21,22
2022-12-22,9
2022-12-23,26
2022-12-24,36
2022-12-25,34
2022-12-26,14
2022-12-27,3
2022-12-28,23
2022-12-29,14
2022-12-30,23
2022-12-31,39
2023-01-01,33
2023-01-02,37
2023-01-03,29
2023-01-04,13
2023-01-05,26
2023-01-06,42
2023-01-07,10
2023-01-08,29
2023-01-09,31
2023-01-10,17
2023-01-11,42
2023-01-12,24
2023-01-13,23
2023-01-14,38
2023-01-15,29
2023-01-16,39
2023-01-17,19
2023-01-18,17
2023-01-19,15
2023-01-20,43
2023-01-21,16
2023-01-22,15
2023-01-23,34
2023-01-24,35
2023-01-25,44
2023-01-26,42
2023-01-27,30
2023-01-28,33
2023-01-29,47
2023-01-30,39
2023-01-31,42
2023-02-01,53
2023-02-02,49
2023-02-03,41
2023-02-04,52
